,shop_code,region,price,item,date2,cpi_allitems,cpi_food,Date,Year,Month,Season
0,1.0,London,0.99,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
1,21.0,South East,0.99,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
2,32.0,South West,1.0,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
3,901.0,South West,0.89,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
4,107.0,East Anglia,0.84,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
5,901.0,East Midlands,0.89,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
6,45.0,Yorkshire & Humber,0.99,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
7,160.0,Yorkshire & Humber,0.85,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
8,154.0,North West,0.79,250,01-12-1989,53.4,53.5,1989-12-01,1989,12,Winter
10,1.0,London,0.8,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
11,43.0,London,0.69,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
12,801.0,London,0.49,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
13,133.0,South East,0.64,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
14,136.0,South East,0.59,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
15,259.0,South East,0.59,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
16,802.0,South East,0.59,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
17,37.0,East Anglia,0.5,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
18,807.0,West Midlands,0.59,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
19,40.0,North West,0.79,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
20,19.0,North,0.69,250,01-12-1997,70.7,64.9,1997-12-01,1997,12,Winter
21,1.0,London,0.59,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
22,86.0,South West,1.19,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
23,12.0,East Anglia,0.5,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
24,90.0,East Anglia,0.99,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
25,801.0,East Midlands,0.54,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
26,801.0,East Midlands,0.33,266,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
27,801.0,West Midlands,0.54,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
28,803.0,North West,0.35,266,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
29,801.0,North,0.33,266,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
30,26.0,Wales,0.6,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
31,802.0,Wales,0.69,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
32,1.0,Scotland,0.69,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
33,96.0,Northern Ireland,0.59,250,01-03-2004,76.1,70.6,2004-03-01,2004,3,Spring
34,2.0,London,0.79,250,01-12-2009,88.0,89.8,2009-12-01,2009,12,Winter
35,12.0,South East,1.1,250,01-12-2009,88.0,89.8,2009-12-01,2009,12,Winter
